id,capitulo,fonte,tipo,confiabilidade,texto,atores,temas,citado_por,fonte_url
EV-0272-01,0272,cap 272,narracao,ambiguo,Há indicação de que a Grande Guerra do Século Perdido levou à queda da cidade de Shandora.,,Shandora|Grande Guerra,,https://onepiece.fandom.com/wiki/Void_Century
EV-0272-02,0272,cap 272,imagem,canonico,Nas ruínas de Shandora há uma parede coberta de escrita no mesmo sistema em que os Poneglyphs são gravados.,,Shandora|Poneglyphs|escrita antiga,,https://onepiece.fandom.com/wiki/Poneglyph
EV-0272-03,0272,cap 272,narracao,canonico,"Lendo as inscrições das ruínas, Robin conclui que um Poneglyph foi trazido para Shandora na época em que a cidade lutava contra o inimigo, e que foi por causa disso que a cidade foi arruinada.",Nico Robin,Shandora|Poneglyphs|Grande Guerra,H-17,https://onepiece.fandom.com/wiki/Chapter_272
EV-0272-04,0272,cap 272,narracao,canonico,"Robin deduz das anotações de Noland que o Poneglyph de Shandora estava junto do grande sino, pendurado no centro dos quatro altares da cidade.",Nico Robin|Mont Blanc Noland,Shandora|Poneglyphs|sino de ouro,,https://onepiece.fandom.com/wiki/Chapter_272
EV-0274-01,0274,cap 274,fala,canonico,"Enel descreve a Fairy Vearth como um lugar de terra ilimitada onde, segundo as lendas do lugar em que nasceu, mora Deus, e diz que voltar para lá é voltar para onde pertence.",Enel,Fairy Vearth|lua|Birka|mito,,https://onepiece.fandom.com/wiki/Chapter_274
EV-0274-02,0274,cap 274,narracao,traducao_disputada,"O nome do lugar procurado por Enel é escrito com kanji que se lê como terra sem fim e furigana que se lê Fairy Vearth, de modo que as duas traduções correntes estão ambas no original.",Enel,Fairy Vearth|traducao|lua,,https://onepiece.fandom.com/wiki/Vearth
EV-0274-03,0274,cap 274,narracao,ambiguo,"Segundo a fonte, as tribos que vieram da lua perderam com o tempo qualquer registro da própria origem, e delas restou apenas um mito que trata a lua como Fairy Vearth, lugar de sonho.",,Birka|lua|memoria perdida|Fairy Vearth,H-16,https://onepiece.fandom.com/wiki/Birka
EV-0277-01,0277,cap 277,narracao,canonico,"Enel escravizou o esquadrão divino de Gan Fall para extrair todo o ouro de Shandora, e usou esse ouro na construção da arca Maxim.",Enel|Gan Fall,Shandora|ouro|Maxim|lua,,https://onepiece.fandom.com/wiki/Shandora
EV-0279-01,0279,cap 279,narracao,canonico,A ilha do céu onde Enel nasceu chamava-se Birka e foi destruída por ele seis anos antes da chegada dos Chapéus de Palha a Skypiea.,Enel,Birka|Skypiea,H-16,https://onepiece.fandom.com/wiki/Birka
EV-0287-01,0287,cap 287,narracao,canonico,"Os Shandia antigos cultuavam deuses do sol, da terra, da floresta e da chuva.",Mousse,Shandia|deuses|sol,,https://onepiece.fandom.com/wiki/Harley
EV-0290-01,0290,cap 290,fala,canonico,"Kalgara explica a Noland que o que os Shandia guardam há gerações não é o ouro nem a cidade em si, e sim o Poneglyph fincado na base do campanário.",Kalgara|Mont Blanc Noland,Shandia|Poneglyphs|Shandora,H-17,https://onepiece.fandom.com/wiki/Chapter_290
EV-0290-02,0290,cap 290,fala,canonico,"Kalgara afirma ter certeza de que a cidade de Shandora foi dizimada por defender o Poneglyph, e que por isso a vontade de seu povo é proteger o passado e o que dele restou a qualquer custo.",Kalgara,Shandora|Poneglyphs|Grande Guerra,H-17,https://onepiece.fandom.com/wiki/Chapter_290
EV-0290-03,0290,cap 290,narracao,canonico,Nenhum dos Shandia consegue decifrar a mensagem da pedra que seu povo guarda há gerações.,Kalgara,Shandia|Poneglyphs|leitura,H-17,https://onepiece.fandom.com/wiki/Chapter_290
EV-0290-04,0290,cap 290,fala,canonico,"Segundo Kalgara, o sino de ouro foi feito para anunciar ao mundo que eles estão ali, para mostrar aos espíritos dos ancestrais o caminho de volta à ilha e para avisar invasores de que os Shandia não os temem; por isso é chamado a Luz de Shandora.",Kalgara,Shandora|sino de ouro|ancestrais,,https://onepiece.fandom.com/wiki/Shandorian_Golden_Belfry_Bell
EV-0300-01,0300,cap 300,narracao,canonico,"Depois de derrotado por Luffy, Enel recupera a consciência, religa a arca Maxim e parte rumo a Fairy Vearth.",Enel,Fairy Vearth|Maxim|lua,,https://onepiece.fandom.com/wiki/Enel
EV-0301-01,0301,cap 301,narracao,canonico,"Diz-se que ao chegar a Laugh Tale, se a pessoa levou consigo as passagens dos Poneglyphs recolhidas na viagem, o Rio Poneglyph será finalmente revelado.",,Laugh Tale|Rio Poneglyph|Poneglyphs,H-01|H-04|H-07|H-08|H-12|H-17,https://onepiece.fandom.com/wiki/Laugh_Tale
EV-0301-02,0301,cap 301,narracao,canonico,"O Poneglyph dos Shandia estava na base do Sino Dourado, e ao lê-lo Robin encontra o registro de uma arma ancestral chamada Poseidon.",Nico Robin,Poneglyphs|Poseidon|armas ancestrais|Shandora,,https://onepiece.fandom.com/wiki/Chapter_301
EV-0301-03,0301,cap 301,imagem,canonico,"Ao lado do texto antigo há uma segunda inscrição, assinada por Gol D. Roger, dizendo que eles estiveram ali, encontraram o texto e seguiram a orientação dele.",Gol D. Roger|Nico Robin,Poneglyphs|Roger|Shandora,,https://onepiece.fandom.com/wiki/Chapter_301
EV-0301-04,0301,cap 301,narracao,canonico,Robin recorda que existem dois tipos de Poneglyph: os que carregam informação e os que revelam onde estão os outros.,Nico Robin,Poneglyphs|tipologia,,https://onepiece.fandom.com/wiki/Chapter_301
EV-0301-05,0301,cap 301,narracao,canonico,"Robin conclui que a pedra de Shandora já cumpriu sua função porque Roger já achou aquilo que ela indicava, e que os Poneglyphs são feitos para serem lidos em conjunto, preenchendo o trecho apagado da história.",Nico Robin|Gol D. Roger,Poneglyphs|Seculo Perdido|Roger,,https://onepiece.fandom.com/wiki/Chapter_301
EV-0301-06,0301,cap 301,fala,canonico,"A tábua de pedra que Robin encontrou no Upper Yard diz que diante do cerne da verdade não há necessidade de palavras e que seus autores são os registradores da história, existindo em harmonia com o som do grande sino, e aponta os Shandia como protetores antigos do texto.",Nico Robin,Shandora|Poneglyphs|registradores|sino de ouro,,https://onepiece.fandom.com/wiki/Chapter_301
EV-0301-07,0301,cap 301,fala,canonico,Gan Fall diz a Robin que Roger esteve em Skypiea há cerca de vinte anos.,Gan Fall|Gol D. Roger,Roger|Skypiea|cronologia,,https://onepiece.fandom.com/wiki/Chapter_301
EV-0301-08,0301,cap 301,narracao,canonico,Robin fica chocada ao descobrir que o Rei dos Piratas não só chegou à ilha do céu como sabia ler a escrita dos Poneglyphs.,Nico Robin|Gol D. Roger,Roger|Poneglyphs|leitura,,https://onepiece.fandom.com/wiki/Chapter_301
EV-0301-09,0301,cap 301,narracao,canonico,"Ao saber por Robin que o desejo de seus ancestrais já foi cumprido, o chefe Shandia desaba em lágrimas, entendendo que seu povo não precisa mais lutar pela pedra.",Nico Robin,Shandia|Poneglyphs|guarda,,https://onepiece.fandom.com/wiki/Chapter_301
EV-0302-01,0302,cap 302,narracao,canonico,Wyper e seus guerreiros juram a Kalgara que manterão o orgulho do povo e não deixarão a Luz de Shandora se apagar outra vez.,Wyper|Kalgara,Shandia|Shandora|sino de ouro,,https://onepiece.fandom.com/wiki/Chapter_302
EV-0344-01,0344,cap 344,narracao,canonico,Pluton é um navio de guerra ancestral construído na ilha de Water 7 durante o Século Perdido.,,Pluton|armas ancestrais|Seculo Perdido,,https://onepiece.fandom.com/wiki/Ancient_Weapons
EV-0391-01,0391,cap 391,narracao,canonico,Ohara foi destruída por um Buster Call vinte anos antes dos eventos de Enies Lobby.,Spandam|Nico Robin,Ohara|Buster Call|cronologia,,https://onepiece.fandom.com/wiki/Ohara
EV-0392-01,0392,cap 392,fala,canonico,Pesquisar o Século Perdido é considerado pelo Governo Mundial o pior crime possível.,Clou D. Clover,Governo Mundial|Seculo Perdido|proibicao,,https://onepiece.fandom.com/wiki/Void_Century
EV-0392-02,0392,cap 392,narracao,canonico,A Árvore do Conhecimento de Ohara era uma árvore-biblioteca de cinco mil anos que reunia arqueólogos do mundo inteiro.,Clou D. Clover,Ohara|biblioteca|Seculo Perdido,H-14,https://onepiece.fandom.com/wiki/Tree_of_Knowledge
EV-0392-03,0392,cap 392,imagem,ambiguo,"A Árvore do Conhecimento guardava um modelo geocêntrico do Planeta Azul com seis satélites, um deles com um segundo corpo em órbita, e o planeta inclinado cerca de vinte e quatro a vinte e cinco graus.",,Ohara|lua|planetas,H-14,https://onepiece.fandom.com/wiki/Tree_of_Knowledge
EV-0392-04,0392,cap 392,fala,canonico,"Os arqueólogos de Ohara proibiram Robin de participar da pesquisa porque sabiam que a pena, caso fossem descobertos, era a decapitação.",Clou D. Clover|Nico Robin,Ohara|proibicao|Seculo Perdido,H-04,https://onepiece.fandom.com/wiki/Chapter_392
EV-0393-01,0393,cap 393,narracao,canonico,Nações inteiras são destruídas e apagadas do registro caso uma única pessoa tente aprender algo sobre o Século Perdido.,,Governo Mundial|Buster Call|Ohara,H-04|H-12,https://onepiece.fandom.com/wiki/Void_Century
EV-0393-02,0393,cap 393,narracao,canonico,"A expedição de Olvia passou seis anos no mar em busca de poneglyphs e terminou com os trinta e três companheiros mortos pela Marinha, restando apenas ela viva.",Nico Olvia,Ohara|Poneglyphs|Governo Mundial,H-04,https://onepiece.fandom.com/wiki/Nico_Olvia
EV-0393-03,0393,cap 393,narracao,canonico,"A Marinha rastreou pelos pertences dos arqueólogos mortos a origem da equipe de Olvia até Ohara, e só então um destacamento do CP9 foi enviado à ilha.",Nico Olvia,Ohara|Governo Mundial|CP9,,https://onepiece.fandom.com/wiki/Poneglyphs
EV-0393-04,0393,cap 393,narracao,canonico,"O Governo Mundial já desconfiava dos arqueólogos de Ohara pelo que eles sabiam, e a pesquisa dos poneglyphs forneceu o pretexto para agir contra eles.",,Ohara|Governo Mundial|proibicao,H-04,https://onepiece.fandom.com/wiki/Poneglyphs
EV-0393-05,0393,cap 393,fala,canonico,"Avisados por Olvia de que a Marinha vinha, Clover e os arqueólogos decidiram não fugir de Ohara porque fugir significaria abandonar os tesouros da ilha.",Clou D. Clover|Nico Olvia,Ohara|biblioteca,H-01,https://onepiece.fandom.com/wiki/Chapter_393
EV-0394-01,0394,cap 394,fala,canonico,Agentes do Governo declararam aos moradores de Ohara que os estudiosos eram demônios que queriam a destruição do mundo.,,Ohara|Governo Mundial|propaganda,H-04,https://onepiece.fandom.com/wiki/Chapter_394
EV-0394-02,0394,cap 394,fala,canonico,Spandine afirma que o Governo Mundial vinha há anos capturando estudiosos de poneglyphs pelo mundo tentando ligá-los a Ohara.,Spandine,Ohara|Governo Mundial|Poneglyphs,H-04,https://onepiece.fandom.com/wiki/Chapter_394
EV-0394-03,0394,cap 394,fala,canonico,Spandine afirma que a destruição de Ohara serviria de exemplo para desestimular qualquer um que estudasse os poneglyphs.,Spandine,Ohara|Governo Mundial|proibicao,H-04,https://onepiece.fandom.com/wiki/Chapter_394
EV-0394-04,0394,cap 394,fala,canonico,Spandine acusa os estudiosos de Ohara de terem como objetivo despertar as armas ancestrais.,Spandine,Ohara|armas ancestrais|Governo Mundial,H-06,https://onepiece.fandom.com/wiki/Chapter_394
EV-0394-05,0394,cap 394,narracao,canonico,A confirmação por chamada de que havia um poneglyph na Árvore do Conhecimento foi tratada por Spandine como a sentença de morte dos estudiosos.,Spandine,Ohara|Poneglyphs|proibicao,H-04,https://onepiece.fandom.com/wiki/Chapter_394
EV-0394-06,0394,cap 394,fala,canonico,Clover exigiu falar diretamente com os Cinco Anciãos.,Clou D. Clover|Cinco Anciaos,Ohara|Cinco Anciaos,,https://onepiece.fandom.com/wiki/Chapter_394
EV-0395-01,0395,cap 395,fala,canonico,"Clover afirma que o nome do Reino Antigo é de importância tremenda e é a chave para entender o Século Perdido, mas é baleado antes de pronunciá-lo.",Clou D. Clover|Cinco Anciaos,Reino Antigo|nome|Seculo Perdido,H-04,https://onepiece.fandom.com/wiki/Great_Kingdom
EV-0395-02,0395,cap 395,fala,canonico,"Clover afirma que o Governo Mundial apagou o reino não por temer seu poder nem suas armas, mas por temer seus ideais.",Clou D. Clover|Cinco Anciaos,Reino Antigo|ideais|Governo Mundial,H-04,https://onepiece.fandom.com/wiki/Great_Kingdom
EV-0395-03,0395,cap 395,narracao,traducao_disputada,"No discurso de Clover o reino é descrito com um adjetivo comum, kyodai na oukoku, ou seja um reino imenso, e não com um nome próprio.",Clou D. Clover,Reino Antigo|nome|traducao,,https://thelibraryofohara.com/2022/01/04/what-is-the-one-piece-the-ultimate-one-piece-theory/
EV-0395-04,0395,cap 395,narracao,canonico,O poneglyph de Ohara ficou intacto depois que uma bomba foi detonada ao seu redor dentro da Árvore do Conhecimento.,,Poneglyphs|Ohara,H-03,https://onepiece.fandom.com/wiki/Chapter_395
EV-0395-05,0395,cap 395,fala,canonico,"Clover afirma que a mensagem foi gravada em pedra porque, se tivesse sido escrita em papel, teria se perdido.",Clou D. Clover,Poneglyphs|mensagem|Seculo Perdido,H-03|H-04|H-05,https://onepiece.fandom.com/wiki/Chapter_395
EV-0395-06,0395,cap 395,fala,canonico,"Clover afirma que o povo que gravou os poneglyphs foi derrotado por um inimigo, e que esse inimigo seguiu existindo na história posterior.",Clou D. Clover,Seculo Perdido|Reino Antigo|Grande Guerra,H-04|H-09,https://onepiece.fandom.com/wiki/Chapter_395
EV-0395-07,0395,cap 395,narracao,canonico,O Governo Mundial foi formado ao fim do Século Perdido.,,Governo Mundial|Seculo Perdido,H-09,https://onepiece.fandom.com/wiki/Chapter_395
EV-0395-08,0395,cap 395,fala,canonico,"Clover afirma que, antes de o Governo Mundial existir, o mundo era regido por um reino imenso, e que esse reino foi exterminado por um grupo que veio a se tornar o Governo Mundial.",Clou D. Clover|Cinco Anciaos,Reino Antigo|Governo Mundial|Grande Guerra,H-04|H-07|H-09,https://onepiece.fandom.com/wiki/Clover
EV-0395-09,0395,cap 395,fala,canonico,"Os estudiosos de Ohara só descobriram a existência de um país que não existe mais cruzando vários documentos e poneglyphs, e não por uma única fonte.",Clou D. Clover,Ohara|Reino Antigo|Poneglyphs,H-04|H-17,https://onepiece.fandom.com/wiki/Chapter_395
EV-0395-10,0395,cap 395,fala,canonico,"Clover afirma que o povo do reino antigo, ao saber que seria derrotado, gravou os poneglyphs para que o mundo soubesse o que havia acontecido.",Clou D. Clover,Poneglyphs|Reino Antigo|mensagem,H-04|H-05|H-17,https://onepiece.fandom.com/wiki/Chapter_395
EV-0395-11,0395,cap 395,fala,canonico,"Os Cinco Anciãos afirmam que a continuidade da pesquisa acabara revivendo as armas ancestrais, mesmo que os estudiosos não tenham essa intenção.",Cinco Anciaos,Cinco Anciaos|armas ancestrais|proibicao,H-04|H-06|H-09,https://onepiece.fandom.com/wiki/Chapter_395
EV-0395-12,0395,cap 395,fala,canonico,Clover responde que o passado é algo que a humanidade deve aceitar e contra o qual deve se precaver.,Clou D. Clover|Cinco Anciaos,Seculo Perdido|proibicao,,https://onepiece.fandom.com/wiki/Chapter_395
EV-0395-13,0395,cap 395,fala,canonico,"Os Cinco Anciãos classificam a posição de Clover como idealismo, e ele pergunta por que lhes negam o direito de sustentar ideais.",Cinco Anciaos|Clou D. Clover,Cinco Anciaos|ideais|Ohara,H-04,https://onepiece.fandom.com/wiki/Chapter_395
EV-0395-14,0395,cap 395,fala,ambiguo,Três dos Cinco Anciãos reconhecem a contribuição de Clover para a cultura universal e lamentam que ele tenha se desviado do bom caminho.,Cinco Anciaos|Clou D. Clover,Cinco Anciaos|Ohara,H-04,https://onepiece.fandom.com/wiki/Clover
EV-0395-15,0395,cap 395,narracao,canonico,"Clover foi baleado por Spandine, chefe do CP9 na época, imediatamente após a ordem de atirar ser dada durante a chamada com os Cinco Anciãos.",Spandine|Clou D. Clover|Cinco Anciaos,Ohara|Cinco Anciaos,H-04,https://onepiece.fandom.com/wiki/Clover
EV-0395-16,0395,cap 395,narracao,canonico,"Logo depois do disparo contra Clover, Spandine acionou o botão do Den Den Mushi Dourado e convocou o Buster Call sobre Ohara.",Spandine,Ohara|Buster Call,,https://onepiece.fandom.com/wiki/Chapter_395
EV-0395-17,0395,cap 395,narracao,canonico,"A autorização para Spandine convocar o Buster Call sobre Ohara, com o Den Den Mushi Dourado, foi concedida pelo então almirante Sengoku.",Spandine|Sengoku,Buster Call|Governo Mundial,H-04,https://onepiece.fandom.com/wiki/Buster_Call
EV-0395-18,0395,cap 395,fala,canonico,Robin declarou diante de Spandine que sabia ler poneglyphs.,Nico Robin|Spandine,Nico Robin|Poneglyphs|leitura,H-04,https://onepiece.fandom.com/wiki/Chapter_395
EV-0396-01,0396,cap 396,fala,canonico,Olvia afirma que Ohara nunca quis revelar a história ao mundo: queria apenas ouvir as vozes do passado e transmiti-las adiante.,Nico Olvia|Nico Robin,Ohara|Seculo Perdido|mensagem,H-04,https://onepiece.fandom.com/wiki/Chapter_396
EV-0396-02,0396,cap 396,narracao,canonico,Clover conclui que o Governo Mundial pretendia desde o início levar a operação ao nível da destruição total da ilha.,Clou D. Clover,Ohara|Buster Call|Governo Mundial,,https://onepiece.fandom.com/wiki/Chapter_396
EV-0396-03,0396,cap 396,narracao,canonico,"Ao saber que Saul havia fugido com Olvia, Sengoku ordenou que os dois fossem mortos porque Saul conhecia a missão.",Sengoku|Jaguar D. Saul|Nico Olvia,Governo Mundial|segredo|Marinha,H-04,https://onepiece.fandom.com/wiki/Chapter_396
EV-0396-04,0396,cap 396,fala,canonico,Olvia acusa as pessoas de temerem o passado sem sequer perguntar do que ele trata.,Nico Olvia|Jaguar D. Saul,Seculo Perdido|proibicao,H-02|H-04,https://onepiece.fandom.com/wiki/Chapter_396
EV-0397-01,0397,cap 397,narracao,canonico,"Sob bombardeio, os arqueólogos jogaram os livros pelas janelas no lago da ilha para que as palavras de mil anos não se perdessem.",Clou D. Clover|Nico Olvia,Ohara|biblioteca|mensagem,H-04|H-14,https://onepiece.fandom.com/wiki/Chapter_397
EV-0397-02,0397,cap 397,narracao,canonico,"Sakazuki destruiu o navio de evacuação com todos os civis de Ohara a bordo, para o caso de algum estudioso ter embarcado.",Sakazuki|Kuzan,Buster Call|Ohara,H-04,https://onepiece.fandom.com/wiki/Chapter_397
EV-0397-03,0397,cap 397,narracao,canonico,"Robin aprendeu a ler a escrita antiga aos oito anos espionando o trabalho dos arqueólogos, sem que nenhum deles soubesse.",Nico Robin,Nico Robin|Poneglyphs|leitura,H-04,https://onepiece.fandom.com/wiki/Poneglyphs
EV-0398-01,0398,cap 398,narracao,canonico,"A recompensa de setenta e nove milhões posta sobre Robin aos oito anos foi pela capacidade de ler poneglyphs, e não por ter afundado seis navios da Marinha como se divulgou.",Nico Robin|Spandine,Nico Robin|Poneglyphs|propaganda,H-04,https://onepiece.fandom.com/wiki/Chapter_398
EV-0398-02,0398,cap 398,narracao,canonico,"A Marinha vistoriou as ruínas de Ohara, confirmou que não havia sobreviventes e viu o lago cheio de livros sem dar importância a eles.",,Ohara|biblioteca,H-04,https://onepiece.fandom.com/wiki/Chapter_398
EV-0399-01,0399,cap 399,narracao,canonico,"Franky queimou as plantas de Pluton depois de concluir que Robin, única capaz de reviver as armas ancestrais, não pretendia usá-las.",Franky|Nico Robin|Spandam,Pluton|armas ancestrais,,https://onepiece.fandom.com/wiki/Ancient_Weapons
EV-0421-01,0421,cap 421,narracao,canonico,"Uma vez anunciados os alvos, o Buster Call não pode ser revogado, mas o almirante que o lidera pode poupar um ponto específico mediante acordo prévio com a frota.",Spandam,Buster Call,,https://onepiece.fandom.com/wiki/Buster_Call
EV-0453-01,0453,historia de capa cap 453 (Enel's Great Space Operations),capa,canonico,"Os quatro autômatos construídos pelo professor Tsukimi na Ilha Karakuri viajaram do planeta até a lua usando balões, para vingar a morte do criador.",Enel,lua|automatos|baloes|Karakuri,H-16,https://onepiece.fandom.com/wiki/Enel's_Great_Space_Operations
EV-0466-01,0466,historia de capa cap 466 (Enel's Great Space Operations),capa,canonico,"Escavando a cratera aberta pelos piratas espaciais, Enel encontra sob a crosta da lua uma cidade antiga escondida e há muito abandonada.",Enel,lua|Birka|cidade antiga,H-16,https://onepiece.fandom.com/wiki/Enel's_Great_Space_Operations
EV-0468-01,0468,historia de capa cap 468 (Enel's Great Space Operations),capa,canonico,"A descarga elétrica de Enel recarrega a cidade lunar e os autômatos antigos parados dentro dela, que voltam a funcionar depois de séculos inertes.",Enel,lua|automatos|tecnologia antiga,H-16,https://onepiece.fandom.com/wiki/Enel's_Great_Space_Operations
EV-0470-01,0470,historia de capa cap 470 (Enel's Great Space Operations),capa,canonico,Os murais da cidade lunar mostram uma civilização antiga de gente alada que vivia na lua e que criou os autômatos.,Enel,lua|automatos|povo alado,H-16,https://onepiece.fandom.com/wiki/Enel's_Great_Space_Operations
EV-0470-02,0470,historia de capa caps 470-472 (Enel's Great Space Operations),capa,canonico,"Pelos murais, Enel descobre que Skypieanos, Shandia e Birkanos se originaram todos da mesma cidade lunar e que foram eles que inventaram os autômatos.",Enel,lua|Shandia|Skypiea|Birka|origem comum,H-16,https://onepiece.fandom.com/wiki/Enel's_Great_Space_Operations
EV-0472-01,0472,historia de capa cap 472 (Enel's Great Space Operations),capa,canonico,Os murais dizem que o nome da cidade lunar era Birka e que seus habitantes partiram para a Estrela Azul porque os recursos da lua se esgotaram.,Enel,lua|Birka|migracao|recursos,H-16,https://onepiece.fandom.com/wiki/Enel's_Great_Space_Operations
EV-0472-02,0472,historia de capa cap 472 (Enel's Great Space Operations),capa,canonico,"Segundo os murais, os habitantes da cidade lunar desceram até a estrela azul usando balões e deixaram para trás os autômatos que haviam criado, numa despedida triste para os dois lados.",Enel,lua|automatos|migracao|baloes,H-16,https://onepiece.fandom.com/wiki/Enel's_Great_Space_Operations
EV-0488-01,0488,cap 488,narracao,ambiguo,"A última linha de Binks' Sake termina em warai-banashi, escrito com os mesmos caracteres de Laugh Tale, e Roger citou essa exata linha antes de nomear a ilha.",Gol D. Roger|Brook,Laugh Tale|riso|Binks' Sake|nome,H-12,https://thelibraryofohara.com/2022/01/04/what-is-the-one-piece-the-ultimate-one-piece-theory/
EV-0506-01,0506,cap 506,fala,canonico,"Roger usou suas palavras finais na execução pública para declarar abertamente que o One Piece pertence a quem conseguir encontrá-lo, e assim sozinho deu início à Grande Era dos Piratas.",Gol D. Roger,One Piece|Era dos Piratas|anuncio,H-02,https://onepiece.fandom.com/wiki/Gol_D._Roger
EV-0506-02,0506,cap 506,narracao,ambiguo,"Na execução Roger declarou que, tal como Joy Boy, havia escondido seu tesouro para que o próximo Rei dos Piratas o encontrasse.",Gol D. Roger|Joy Boy,One Piece|esconder|sucessao,H-01|H-05,https://onepiece.fandom.com/wiki/Great_Pirate_Era
EV-0507-01,0507,cap 507,fala,canonico,"Rayleigh revela que os Piratas de Roger descobriram a verdadeira história, provando que preencher a lacuna do Século Perdido é possível.",Silvers Rayleigh|Nico Robin,Seculo Perdido|verdadeira historia|Roger,H-04,https://onepiece.fandom.com/wiki/Void_Century
EV-0507-02,0507,cap 507,fala,ambiguo,"Rayleigh disse acreditar que sua tripulação e os estudiosos de Ohara tinham sido apressados demais, e encorajou Robin a ver o mundo para chegar a conclusão diferente da deles.",Silvers Rayleigh|Nico Robin,Roger|Ohara|cedo demais,,https://onepiece.fandom.com/wiki/Void_Century
EV-0576-01,0576,cap 576,fala,canonico,Barba Branca declarou que um dia o One Piece será encontrado e que isso desencadeará uma guerra indizível que engolfará o mundo inteiro.,Edward Newgate,One Piece|guerra|profecia,H-01|H-02|H-05|H-11,https://onepiece.fandom.com/wiki/Void_Century
EV-0576-02,0576,cap 576,narracao,canonico,"Roger ofereceu a Barba Branca a informação de como chegar a Laugh Tale, e Barba Branca recusou porque seu sonho era ter uma família.",Gol D. Roger|Edward Newgate,Laugh Tale|recusa,H-01|H-02,https://onepiece.fandom.com/wiki/Laugh_Tale
EV-0585-01,0585,cap 585,narracao,canonico,"Diante de Ace e Sabo, Luffy declara qual é o objetivo que está no fim do seu sonho, mas o quadro corta antes da fala e mostra apenas a reação dos dois, que em seguida trocam taças de sake.",Monkey D. Luffy|Portgas D. Ace|Sabo,sonho|sake|Luffy,H-11,https://onepiece.fandom.com/wiki/Monkey_D._Luffy
EV-0621-01,0621,cap 621,fala,canonico,Otohime declara em praça pública que o Reino Ryugu vai para a superfície e recolhe assinaturas para levar a intenção de migrar ao Levely.,Otohime,Otohime|superficie|migracao|Levely,H-08,https://onepiece.fandom.com/wiki/Chapter_621
EV-0621-02,0621,cap 621,fala,canonico,Neptune diz ao Ministro da Esquerda que o mundo com que sua esposa sonha remonta a centenas de anos: ancestrais distantes tentaram a mesma coisa e aquilo terminou em sonho desperdiçado e arrependimento.,Neptune,Otohime|superficie|promessa|Seculo Perdido,H-05,https://onepiece.fandom.com/wiki/Chapter_621
EV-0621-03,0621,cap 621,imagem,ambiguo,Noah aparece ao fundo do quadro no momento em que Neptune fala do sonho fracassado dos ancestrais.,Neptune,Noah|superficie|promessa,,https://onepiece.fandom.com/wiki/Chapter_621
