hipotese,relacao,evidencia,peso,justificativa
H-03,apoia,EV-0967-05,0.2,"Rayleigh garantiu a Netuno que a tripulação de Roger não estava atrás da arma ancestral, e sim do tesouro de quem criou a arma: o tesouro é atribuído aos construtores da arma, isto é, à mesma engenharia antiga de que esta hipótese depende."
H-03,contradiz,EV-1190-03,0.4,"Gaban diz conhecer as palavras de Joy Boy e não ter intenção de segui-las: o que a tripulação trouxe de Laugh Tale é descrito como palavras, não como máquina."
H-03,contradiz,EV-1190-01,0.35,"Gaban afirma que a insistência de Imu em matar Luffy prova o que Roger disse sobre terem chegado cedo demais e que Luffy é a pessoa esperada: a condição que faltava é uma pessoa, o que dispensa o mecanismo desta hipótese."
H-03,contradiz,EV-1116-02,0.25,"A Mother Flame, chama que Vegapunk criou para ser um sol próprio e fonte de energia ilimitada, está incompleta e é criação moderna — não é a energia antiga que esta hipótese precisava emprestar."
H-03,contradiz,EV-0967-11,0.2,A gargalhada da tripulação de Roger ao encontrar o tesouro em Laugh Tale não é a reação esperada diante de um dispositivo técnico.
H-03,contradiz,EV-0632-01,0.15,"Vander Decken IX afirma que há muito tempo o povo da Ilha dos Homens-Peixe construiu o navio gigante Noah: o maior artefato antigo deste arco é obra dos próprios habitantes, e não do Reino Antigo de cuja tecnologia esta hipótese depende."
H-03,contradiz,EV-0395-05,0.2,"Clover afirma que a mensagem foi gravada em pedra porque, se tivesse sido escrita em papel, teria se perdido: o único artefato antigo que Ohara possuía é descrito como suporte de mensagem, e não como dispositivo que executa alguma função."
H-03,contradiz,EV-0967-08,0.25,"Oden registrou por escrito que, na ilha final, a tripulação descobriu as verdades sobre o Século Perdido, sobre o significado do D. e sobre as armas ancestrais: o que a ilha entrega são verdades descobertas, e não um dispositivo que se opere."
H-04,apoia,EV-0507-01,0.45,"Rayleigh revela que os Piratas de Roger descobriram a verdadeira história, provando que preencher a lacuna do Século Perdido é possível e que foi isso que eles encontraram no fim da viagem."
H-04,apoia,EV-0395-01,0.35,"Clover afirma que o nome do Reino Antigo é de importância tremenda e é a chave para entender o Século Perdido, e é baleado antes de pronunciá-lo: o Governo mata para impedir a divulgação de um dado histórico."
H-04,apoia,EV-0301-01,0.35,"Diz-se que ao chegar a Laugh Tale levando as passagens dos Poneglyphs recolhidas na viagem o Rio Poneglyph será finalmente revelado, ou seja, o que espera na ilha é um texto."
H-04,apoia,EV-0393-01,0.3,"Nações inteiras são destruídas e apagadas do registro caso uma única pessoa tente aprender algo sobre o Século Perdido, o que dimensiona o valor político da informação."
H-04,apoia,EV-0218-01,0.25,"O sonho de Robin é descobrir a verdade do Século Perdido encontrando o Rio Poneglyph, que amarraria os fios da história: a obra já nomeou o documento que fecha a lacuna e o colocou no fim da rota."
H-04,apoia,EV-1113-02,0.15,"Vegapunk anuncia ao mundo o afundamento global numa transmissão única, provando que informação divulgada mundialmente tem efeito destrutivo sobre a ordem vigente."
H-04,apoia,EV-1138-05,0.35,"O verso do Terceiro Mundo do Harley diz ouvir as vozes da lua crescente, e ouvir vozes é a expressão com que Roger descreve ler os Poneglyphs: até o texto profético coloca a leitura de um registro no centro do desfecho."
H-04,apoia,EV-0395-02,0.35,"Clover afirma que o Governo Mundial apagou o reino não por temer seu poder nem suas armas, mas por temer seus ideais: o que o Governo suprime é conteúdo, e conteúdo é o que um registro carrega."
H-04,apoia,EV-0395-10,0.4,"Clover afirma que o povo do reino antigo, ao saber que seria derrotado, gravou os poneglyphs para que o mundo soubesse o que havia acontecido: a obra dá finalidade de divulgação ao registro, que é o mecanismo de que esta hipótese precisa."
H-04,apoia,EV-0395-08,0.35,"Clover afirma que antes do Governo Mundial o mundo era regido por um reino imenso e que esse reino foi exterminado pelo grupo que veio a se tornar o Governo: é o crime fundador nomeado, que é o conteúdo que esta hipótese prevê."
H-04,apoia,EV-0392-04,0.2,"Os arqueólogos de Ohara proibiram Robin de participar da pesquisa porque sabiam que a pena, caso fossem descobertos, era a decapitação: o preço de saber já era capital antes de qualquer divulgação, o que dimensiona o valor político do registro."
H-04,apoia,EV-0393-02,0.2,"A expedição de Olvia passou seis anos no mar em busca de poneglyphs e terminou com os trinta e três companheiros mortos pela Marinha, restando apenas ela viva: o Governo gasta vidas em escala militar para impedir que o registro seja reunido."
H-04,apoia,EV-0393-04,0.25,"O Governo Mundial já desconfiava dos arqueólogos de Ohara pelo que eles sabiam, e a pesquisa dos poneglyphs forneceu apenas o pretexto para agir contra eles: o motivo real é o conteúdo que eles já conheciam."
H-04,apoia,EV-0394-01,0.25,"Agentes do Governo declararam aos moradores de Ohara que os estudiosos eram demônios que queriam a destruição do mundo: o regime precisa fabricar uma versão antes de atirar, e legitimidade que depende de narrativa é o que a divulgação do registro ameaça."
H-04,apoia,EV-0394-02,0.25,"Spandine afirma que o Governo Mundial vinha há anos capturando estudiosos de poneglyphs pelo mundo tentando ligá-los a Ohara: a política de estado persegue leitores, e leitor só é ameaça se o que se lê for o registro."
H-04,apoia,EV-0394-03,0.3,"Spandine afirma que a destruição de Ohara serviria de exemplo para desestimular qualquer um que estudasse os poneglyphs: a operação é dirigida a futuros leitores, o que só faz sentido se o perigo estiver no que se pode ler."
H-04,apoia,EV-0395-05,0.3,"Clover afirma que a mensagem foi gravada em pedra porque, se tivesse sido escrita em papel, teria se perdido: o suporte foi escolhido para que o registro atravessasse os séculos até ser lido, que é o objeto que esta hipótese põe no fim da rota."
H-04,apoia,EV-0395-06,0.3,"Clover afirma que o povo que gravou os poneglyphs foi derrotado por um inimigo e que esse inimigo seguiu existindo na história posterior: o registro identifica o vencedor que ainda governa, que é o conteúdo auto-incriminatório previsto aqui."
H-04,apoia,EV-0395-13,0.2,"Os Cinco Anciãos classificam a posição de Clover como idealismo e ele pergunta por que lhes negam o direito de sustentar ideais: outra vez o que a cúpula suprime são ideais, e ideal é conteúdo, que é o que um registro carrega."
H-04,apoia,EV-0395-15,0.25,"Clover foi baleado por Spandine, chefe do CP9, imediatamente após a ordem de atirar dada durante a chamada com os Cinco Anciãos: a cúpula interrompe uma frase a bala, o que mede o custo que ela atribui a uma informação dita em voz alta."
H-04,apoia,EV-0395-17,0.2,"A autorização para Spandine convocar o Buster Call sobre Ohara com o Den Den Mushi Dourado foi concedida antes pelo então almirante Sengoku: a destruição estava decidida antes de qualquer diligência, logo o alvo era o que a ilha sabia."
H-04,apoia,EV-0395-18,0.3,"Robin declarou diante de Spandine que sabia ler poneglyphs, e é a declaração que a torna alvo: a obra já transformou saber ler poneglyphs em crime pessoal, o que sustenta a previsão de que a revelação final depende de uma leitora."
H-04,apoia,EV-0396-03,0.25,"Ao saber que Saul havia fugido com Olvia, Sengoku ordenou que os dois fossem mortos porque Saul conhecia a missão: o sigilo alcança o próprio executor, o que confirma que o ativo em disputa é informação e não território."
H-04,apoia,EV-0397-01,0.25,"Sob bombardeio, os arqueólogos jogaram os livros pelas janelas no lago da ilha para que as palavras de mil anos não se perdessem: o gesto final de Ohara é salvar o registro, tratado como a coisa que importa mais que a vida."
H-04,apoia,EV-0397-02,0.25,Sakazuki destruiu o navio de evacuação com todos os civis de Ohara a bordo para o caso de algum estudioso ter embarcado: o Governo aceita matar uma população inteira pela mera chance de um leitor escapar.
H-04,apoia,EV-0397-03,0.2,"Robin aprendeu a ler a escrita antiga aos oito anos espionando o trabalho dos arqueólogos, sem que nenhum deles soubesse: a única leitora sobrevivente sobrou por acidente, e é dela que a previsão de indispensabilidade depende."
H-04,apoia,EV-0398-01,0.3,"A recompensa de setenta e nove milhões posta sobre Robin aos oito anos foi pela capacidade de ler poneglyphs, e não por ter afundado seis navios da Marinha como se divulgou: o Governo precifica a leitura e falsifica o motivo publicado."
H-04,apoia,EV-1066-04,0.35,"Shaka afirma que o Governo Mundial tentou apagar todo conhecimento do Reino Antigo com a intenção de que absolutamente ninguém carregasse os ideais dele: o que se apaga é conhecimento, isto é, registro, e a tese chega por outra boca que não a de Clover."
H-04,apoia,EV-1120-03,0.2,"Vegapunk afirma que o Governo Mundial deixou Clover vivo por tantos anos de propósito, para segui-lo até seus colegas e eliminar todos de uma vez: a operação mira a rede inteira de quem sabe, e não um crime pontual."
H-04,apoia,EV-0301-08,0.25,"Robin fica chocada ao descobrir que o Rei dos Piratas não só chegou à ilha do céu como sabia ler a escrita dos Poneglyphs: quem chegou ao fim da rota era leitor, o que sustenta a metade documental desta hipótese."
H-04,apoia,EV-0395-12,0.25,"Clover responde que o passado é algo que a humanidade deve aceitar e contra o qual deve se precaver: a defesa dele situa o objeto da proibição no conhecimento do passado, e é a réplica direta ao argumento das armas que pesa contra esta hipótese."
H-04,apoia,EV-0261-02,0.2,"Robin percebe que o desaparecimento do povo de Shandora há 800 anos cai exatamente dentro dos cem anos ausentes da história do mundo e cogita que a ilha do céu tenha feito parte dessa história não contada: a lacuna tem contorno datável, condição para existir um registro que a preencha."
H-04,apoia,EV-0396-02,0.2,"Clover conclui que o Governo Mundial pretendia desde o início levar a operação ao nível da destruição total da ilha: a decisão precede a investigação, logo o alvo era o que a ilha sabia e não um crime apurado."
H-04,apoia,EV-0394-06,0.15,"Clover exigiu falar diretamente com os Cinco Anciãos: o que ele tinha a dizer era matéria da cúpula do Governo Mundial e não de polícia, o que dimensiona o valor político do conteúdo histórico em disputa."
H-04,apoia,EV-0967-08,0.4,"Oden registrou por escrito que, na ilha final, a tripulação descobriu as verdades sobre o Século Perdido, sobre o significado do D. e sobre as armas ancestrais: é o inventário do que há na ilha final, e ele é inteiramente informacional, com o Século Perdido em primeiro lugar."
H-04,apoia,EV-0968-05,0.35,"Roger se irritou por o Governo Mundial divulgar seu nome como Gold Roger, escondendo o Gol D., mas disse compreender o motivo do encobrimento à luz do que a tripulação aprenderá em Laugh Tale: o que se aprende em Laugh Tale explica uma política de encobrimento do Governo, que é a ligação entre conteúdo e legitimidade que esta hipótese afirma."
H-04,apoia,EV-0966-05,0.3,"Roger pediu a Barba Branca que lhe emprestasse Oden por um ano, com a finalidade declarada de decifrar os Road Poneglyphs: a viagem final foi montada em torno de um leitor emprestado, precedente direto da indispensabilidade de tradutor que esta hipótese prevê."
H-04,apoia,EV-0967-12,0.3,"O nome Laugh Tale foi dado pelo próprio Roger, em referência ao que a paráfrase em inglês chama de uma história de rir: o nome da ilha aponta para um relato, e relato é a forma do registro que esta hipótese põe no fim da rota."
H-04,apoia,EV-0966-07,0.2,"Roger localizou o Poneglyph de Skypiea ouvindo as vozes que vinham de dentro dele: fixa em cena que ouvir vozes é o modo de acesso ao conteúdo de um Poneglyph, que é a ponte lexical de que o apoio profético desta hipótese depende."
H-04,apoia,EV-0967-09,0.2,"Na ilha final Oden aprendeu que Wano já estivera conectada ao resto do mundo: o que se aprende na ilha final é história apagada, e a desconexão de um país inteiro é o tipo de fato que o registro do Século Perdido restituiria."
H-04,contradiz,EV-1117-01,0.35,"Os Cinco Anciãos interromperam parte da transmissão global de Vegapunk a qualquer custo, mostrando que o Governo consegue conter divulgação de informação e não seria destruído automaticamente por ela."
H-04,contradiz,EV-0967-11,0.35,A gargalhada coletiva da tripulação de Roger ao encontrar o tesouro em Laugh Tale é difícil de explicar como reação à leitura de um registro histórico.
H-04,contradiz,EV-1121-01,0.3,"Vegapunk fala em reivindicar o One Piece e diz que quem o encontrar pode não ser aquele que Joy Boy esperava; um registro histórico se divulga, não se reivindica, e não tem destinatário preferido."
H-04,contradiz,EV-1114-01,0.25,"Vegapunk já revelou ao mundo que Joy Boy veio do Reino Antigo, foi o primeiro pirata e portava a fruta Nika, e o Governo continuou de pé: parte substancial do registro já foi divulgada sem colapso."
H-04,contradiz,EV-1181-01,0.2,"Imu descreve seu poder Omen como algo que reside em todas as coisas e cujos fundamentos são Corrupção, Pacto e inveja, formando a Dominação: a autoridade dele é apresentada como poder concreto, não como narrativa histórica que a verdade dissolveria."
H-04,contradiz,EV-0967-03,0.35,"Em Laugh Tale Roger se dirige a Joy Boy e nomeia duas coisas na mesma fala, o tesouro inacreditável que ele deixou e o inacreditável laugh tale: se a fala coordena dois itens, o registro e o tesouro são coisas distintas e esta hipótese confunde uma com a outra."
H-04,contradiz,EV-1138-14,0.3,"Ripley considera o mural um sonho de criança, e o mural registra o Século Perdido numa árvore pública de Elbaf há novecentos anos sem que o Governo o tenha apagado: existe registro pictórico independente dos Poneglyphs circulando livremente, e ele não derrubou ninguém."
H-04,contradiz,EV-1066-03,0.45,"Vegapunk chegou à verdadeira história pelos livros de Ohara salvos em Elbaf, sem Robin e sem Laugh Tale: se o registro pode ser lido por outra via, ele não é o que espera no fim da rota."
H-04,contradiz,EV-0396-01,0.25,"Olvia diz que Ohara queria ouvir as vozes do passado e transmiti-las, e não revelar a história ao mundo: os próprios arqueólogos não tratavam o registro como arma política."
H-04,contradiz,EV-0628-01,0.25,"Robin observa que o poneglyph da Sea Forest é diferente de todos os que já lera: em vez de registro histórico tem forma de carta de desculpas e menciona alguém chamado Joy Boy, ou seja, nem toda a rede de poneglyphs é arquivo da história."
H-04,contradiz,EV-0648-06,0.3,"Um dos Reis do Mar percebe que Luffy ouviu a conversa deles e o grupo lembra que outro humano, Gol D. Roger, também ouvia suas vozes: ouvir vozes ganha referente concorrente, e o apoio que esta hipótese tira do verso do Harley deixa de apontar necessariamente para leitura de poneglyph."
H-04,contradiz,EV-0394-05,0.2,A confirmação por chamada de que havia um poneglyph na Árvore do Conhecimento foi tratada por Spandine como a sentença de morte dos estudiosos: o gatilho é a posse do objeto e não o conteúdo lido nele.
H-04,contradiz,EV-0395-09,0.2,"Os estudiosos de Ohara só descobriram a existência de um país que não existe mais cruzando vários documentos e poneglyphs, e não por uma única fonte: se a história se reconstrói por triangulação, ela não está guardada num achado único no fim da rota."
H-04,contradiz,EV-0395-11,0.3,"Os Cinco Anciãos afirmam que a continuidade da pesquisa acabará revivendo as armas ancestrais, mesmo que os estudiosos não tenham essa intenção: o motivo declarado da proibição pela própria cúpula é arma, e não legitimidade ameaçada por divulgação."
H-04,contradiz,EV-0395-14,0.15,Três dos Cinco Anciãos reconhecem a contribuição de Clover para a cultura universal e lamentam que ele tenha se desviado do bom caminho: quem teme perder a legitimidade por um conteúdo não elogia em cena o pesquisador que o produz.
H-04,contradiz,EV-0396-04,0.2,"Olvia acusa as pessoas de temerem o passado sem sequer perguntar do que ele trata: se o medo do passado não depende de conhecer o conteúdo, divulgar esse conteúdo não produz por si a queda que esta hipótese prevê."
H-04,contradiz,EV-0398-02,0.25,"A Marinha vistoriou as ruínas de Ohara, confirmou que não havia sobreviventes e viu o lago cheio de livros sem dar importância a eles: o regime que supostamente cai se o registro vazar deixou o acervo boiando intacto."
H-04,contradiz,EV-1066-02,0.3,"Os livros que os arqueólogos de Ohara jogaram no lago foram recolhidos por gigantes liderados por Jaguar D. Saul e levados para Elbaf: existe um acervo inteiro fora de Laugh Tale, o que tira do fim da rota a exclusividade do registro."
H-04,contradiz,EV-0301-02,0.25,"O Poneglyph dos Shandia estava na base do Sino Dourado e ao lê-lo Robin encontra o registro de uma arma ancestral chamada Poseidon: o texto que a obra mostra sendo lido em cena neste arco registra arma, e não a história do Século Perdido."
H-04,contradiz,EV-0301-05,0.2,"Robin conclui que os Poneglyphs são feitos para serem lidos em conjunto, preenchendo o trecho apagado da história: se o registro só se compõe pela soma das pedras espalhadas, ele não está inteiro num achado único no fim da rota."
H-04,contradiz,EV-0393-03,0.2,"A Marinha rastreou pelos pertences dos arqueólogos mortos a origem da equipe de Olvia até Ohara, e só então um destacamento do CP9 foi enviado à ilha: a cadeia começa num achado material sobre uma expedição, e não numa avaliação do conteúdo do registro."
H-04,contradiz,EV-0421-01,0.2,"Uma vez anunciados os alvos, o Buster Call não pode ser revogado, mas o almirante que o lidera pode poupar um ponto específico mediante acordo prévio com a frota: o procedimento é instrumento padrão com exceção negociável, e não medida excepcional reservada a quem ameaça a legitimidade."
H-04,contradiz,EV-0968-08,0.2,"Os diários de Oden contradizem o que o capítulo mostra: ele escreveu que nenhuma lágrima foi derramada na despedida de Roger enquanto os painéis mostram a tripulação em prantos: o registro escrito de Oden é fonte demonstradamente infiel, e é dele que vem o inventário do que foi descoberto na ilha final."
H-04,contradiz,EV-0821-02,0.2,"Zunesha possui a Voz de Todas as Coisas e só consegue falar telepaticamente com quem tem a mesma habilidade: ouvir vozes ganha aqui um referente que não tem nada de leitura, o que enfraquece a ponte entre o verso profético e a leitura de um registro."
H-05,apoia,EV-1190-03,0.5,Gaban diz a Imu que conhece as palavras de Joy Boy mas não tem intenção de seguir as palavras de um homem que não conheceu: o que a tripulação de Roger trouxe de Laugh Tale são palavras que pedem algo de quem as lê.
H-05,apoia,EV-0649-01,0.35,"Joy Boy escreveu num Poneglyph da Sea Forest um pedido de desculpas por não ter cumprido sua parte da promessa: o único texto dele que o leitor conhece é mensagem pessoal endereçada, não inventário nem manual."
H-05,apoia,EV-1122-02,0.35,"Joy Boy selou parte do seu Haki do Conquistador dentro de Emet atado em nó, para ser liberado séculos depois: ele planejava intervenções dirigidas a quem viesse muito tempo depois."
H-05,apoia,EV-0972-01,0.3,"Ao aprender a verdadeira história Roger riu e declarou que gostaria de ter vivido na mesma época que Joy Boy: a reação natural de quem acaba de ler alguém, não de quem encontrou um objeto."
H-05,apoia,EV-1121-01,0.3,"Vegapunk afirma que quem encontrar o One Piece pode não ser aquele que Joy Boy esperava, o que só faz sentido se a coisa deixada tiver um destinatário pretendido."
H-05,apoia,EV-0506-02,0.25,"Na execução Roger declarou que, tal como Joy Boy, havia escondido seu tesouro para que o próximo Rei dos Piratas o encontrasse: ele leu o gesto de Joy Boy como endereçado a um sucessor e o repetiu."
H-05,apoia,EV-1116-01,0.2,"Joy Boy teve papel na preservação das três armas ancestrais para que gerações futuras pudessem acessá-las, comportamento de quem legou instruções e meios a um sucessor."
H-05,apoia,EV-0649-07,0.35,"Neptune diz que a mensagem deixada por Joy Boy era endereçada à princesa sereia que vivia na ilha naquela época: o único texto conhecido dele tem destinatário nomeado, que é exatamente o endereçamento de que esta hipótese depende."
H-05,apoia,EV-0628-01,0.35,"Robin observa que o poneglyph da Sea Forest tem forma de carta de desculpas e menciona alguém chamado Joy Boy, em vez do registro histórico que ela já lera nos outros: o legado dele aparece como mensagem pessoal, palavras e pedido, e não como arquivo."
H-05,apoia,EV-0649-03,0.3,"Neptune diz que a parte da Ilha dos Homens-Peixe na promessa era vigiar Noah e mantê-la em segurança: a promessa tem partes atribuídas a contrapartes, que é a forma de um legado com condições endereçadas a quem viesse depois."
H-05,apoia,EV-0641-02,0.25,"Neptune explica que séculos atrás foi feita uma promessa a um grande homem de manter o navio no fundo do mar e esperar, protegendo-o: o que Joy Boy deixou tem forma de pedido aceito por terceiros, e não de objeto."
H-05,apoia,EV-0649-05,0.25,"Neptune responde a Robin que Joy Boy não tinha o poder de controlar Reis do Mar e que essa habilidade pertencia à princesa sereia daquela época: o que ele podia legar eram palavras e um pedido dirigidos a quem tinha o poder, não o poder."
H-05,apoia,EV-0653-01,0.25,"Shirahoshi pede para ver uma floresta de verdade na superfície e Luffy fecha com ela uma promessa de mindinho de levá-la até lá: a pendência que a obra transmite ao sucessor tem forma de promessa assumida diante da mesma destinatária, e não de objeto tomado."
H-05,apoia,EV-0621-02,0.2,"Neptune diz que o mundo com que sua esposa sonha remonta a centenas de anos e que ancestrais distantes tentaram a mesma coisa, que terminou em sonho desperdiçado e arrependimento: o que sobrou daquela tentativa é arrependimento, coerente com um legado cujo único texto conhecido é um pedido de desculpas."
H-05,apoia,EV-0395-05,0.25,"Clover afirma que a mensagem foi gravada em pedra porque, se tivesse sido escrita em papel, teria se perdido: a escolha do suporte é de quem endereça um recado a leitores muito distantes no tempo, que é a forma de um legado dirigido."
H-05,apoia,EV-1066-04,0.2,"Shaka afirma que o Governo Mundial tentou apagar todo conhecimento do Reino Antigo com a intenção de que absolutamente ninguém carregasse os ideais dele: o que se teme é alguém assumir esses ideais, e ideal assumido por um herdeiro é legado dirigido, não crônica."
H-05,apoia,EV-0301-03,0.3,"Ao lado do texto antigo há uma segunda inscrição, assinada por Gol D. Roger, dizendo que eles estiveram ali, encontraram o texto e seguiram a orientação dele: Roger responde ao que leu deixando por escrito uma mensagem para quem viesse depois, que é a forma de legado dirigido."
